,input,output
69,i plane to give on this month end,human
70,wah lucky man then can save money hee,human
71,finished class where are you,human
72,hi babe im at home now wanna do something xx,human
73,k k where are you how did you performed,human
74,u can call me now,human
75,i am waiting machan call me once you free,human
76,thats cool i am a gentleman and will treat you with dignity and respect,human
77,i like you peoples very much but am very shy pa,human
78,does not operate after lt gt or what,human
79,its not the same here still looking for a job how much do ta's earn there,human
80,"sorry, i'll call later",human
81,k did you call me just now ah,human
82,ok i am on the way to home hi hi,human
83,you will be in the place of that man,human
84,yup next stop,human
85,"i call you later, don't have network if urgnt, sms me",human
86,for real when u getting on yo i only need   more tickets and one more jacket and i'm done i already used all my multis,human
87,yes i started to send requests to make it but pain came back so i'm back in bed double coins at the factory too i gotta cash in all my nitros,human
88,i'm really not up to it still tonight babe,human
89,"ela kano ,il download, come wen ur free",human
90,yeah do donû÷t stand to close tho youû÷ll catch something,human
91,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven't done any of y stuff moro and that includes all my time sheets and that sorry,human
92,smile in pleasure smile in pain smile when trouble pours like rain smile when sum  hurts u smile becoz someone still loves to see u smiling,human
93,please call our customer service representative on       between  am  pm as you have won a guaranteed å£  cash or å£  prize,spam
94,havent planning to buy later i check already lido only got   show in e afternoon u finish work already,human
95,"your free ringtone is waiting to be collected simply text the password \mix\"" to   to verify get usher and britney fml",spam
96,watching telugu movie wat abt u,human
97,i see when we finish we have loads of loans to pay,human
98,"hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u \"" ham""",human
99,please don't text me anymore i have nothing else to say,human
100,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,human
101,i'm still looking for a car to buy and have not gone  the driving test yet,human
102,as per your request 'melle melle oru minnaminunginte nurungu vettam ' has been set as your callertune for all callers press   to copy your friends callertune,human
103,"wow you're right i didn't mean to do that i guess once i gave up on boston men and changed my search location to nyc, something changed cuz on my signin page it still says boston",human
104,umma my life and vava umma love you lot dear,human
105,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,human
106,"aight, i'll hit you up when i get some cash",human
107,how would my ip address test that considering my computer isn't a minecraft server,human
108,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,human
109,dont worry i guess he's busy,human
110,what is the plural of the noun research,human
111,going for dinner msg you after,human
112,i'm ok wif it cos i like   try new things but i scared u dun like mah cos u said not too loud,human
113,gent we are trying to contact you last weekends draw shows that you won a å£  prize guaranteed call   claim code k  valid  hrs only  ppm,spam
114,"wa, ur openin sentence very formal anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight haha so anythin special happened",human
115,"as i entered my cabin my pa said, '' happy b'day boss '' i felt special she askd me   lunch after lunch she invited me to her apartment we went there",human
116,you are a winner u have been specially selected   receive å£  or a   holiday flights inc speak to a live operator   claim  p min  ,spam
117,goodo yes we must speak friday egg potato ratio for tortilla needed,human
118,hmm my uncle just informed me that he's paying the school directly so pls buy food,human
119,private your   account statement for   shows   unredeemed bonus points to claim call   identifier code   expires,spam
120,"urgent your mobile no was awarded å£  bonus caller prize on       this is our final try to contact u call from landline   box wr c,  ppm",spam
121,here is my new address apples pairs all that malarky,human
122,todays voda numbers ending   are selected to receive a   award if you have a match please call   quoting claim code   standard rates app,spam
123,i am going to sao mu today will be done only at  ,human
124,ìï predict wat time ì_'ll finish buying,human
125,"good stuff, will do",human
126,"just so that you know,yetunde hasn't sent money yet i just sent her a text not to bother sending so its over, you dont have to involve yourself in anything i shouldn't have imposed anything on you in the first place so for that, i apologise",human
127,are you there in room,human
128,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,human
129,k k how much does it cost,human
130,i'm home,human
131,"dear, will call tmorrow pls accomodate",human
132,first answer my question,human
133,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to   å£    sp tyrone,spam
134,want   get laid tonight want real dogging locations sent direct   ur mob join the uk's largest dogging network bt txting gravel to   nt ec a  p msg  p,spam
135,i only haf msn it's yijue hotmail com,human
136,he is there you call and meet him,human
137,no no i will check all rooms befor activities,human
138,you'll not rcv any more msgs from the chat svc for free hardcore services text go to   if u get nothing u must age verify with yr network try again,spam
139,got c i lazy to type i forgot ì_ in lect i saw a pouch but like not v nice,human
140,"k, text me when you're on the way",human
141,"sir, waiting for your mail",human
142,"a swt thought \nver get tired of doing little things   lovable persons \"" coz somtimes those little things occupy d biggest part in their hearts gud ni """,human
143,i know you are can you pls open the back,human
144,yes see ya not on the dot,human
145,whats the staff name who is taking class for us,human
146,"freemsg why haven't you replied to my text i'm randy, sexy, female and live local luv to hear from u netcollex ltd  p per msg reply stop to end",spam
147,ummma will call after check in our life will begin from qatar so pls pray very hard,human
148,k i deleted my contact that why,human
149,sindu got job in birla soft,human
150,the wine is flowing and i'm i have nevering,human
151,yup i thk cine is better cos no need   go down   plaza mah,human
152,ok ur typical reply,human
153,as per your request 'melle melle oru minnaminunginte nurungu vettam ' has been set as your callertune for all callers press   to copy your friends callertune,human
154,"you are everywhere dirt, on the floor, the windows, even on my shirt and sometimes when i open my mouth, you are all that comes flowing out i dream of my world without you, then half my chores are out too a time of joy for me, lots of tv shows i ll see but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one",human
155,aaooooright are you at work,human
156,i'm leaving my house now,human
157,"hello, my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me",human
158,customer service annoncement you have a new years delivery waiting for you please call   now to arrange delivery,spam
159,you are a winner u have been specially selected   receive å£  cash or a   holiday flights inc speak to a live operator   claim  ,spam
160,keep yourself safe for me because i need you and i miss you already and i envy everyone that see's you in real life,human
161,new car and house for my parents i have only new job in hand,human
162,i'm so in love with you i'm excited each day i spend with you you make me so happy,human
163,pls stop bootydelious   f is inviting you to be her friend reply yes   or no   see her www sms ac u bootydelious stop send stop frnd to  ,spam
164,"bangbabes ur order is on the way u should receive a service msg   download ur content if u do not, goto wap bangb tv on ur mobile internet service menu",spam
165,i place all ur points on e cultures module already,human
166,urgent we are trying to contact you last weekends draw shows that you have won a å£  prize guaranteed call   claim code s  valid  hrs only,spam
167,"hi frnd, which is best way to avoid missunderstding wit our beloved one's",human
168,great escape i fancy the bridge but needs her lager see you tomo,human
169,yes it completely in out of form clark also utter waste,human
170,"sir, i need axis bank account no and bank address",human
171,"hmmm thk sure got time to hop ard ya, can go   free abt muz call u to discuss liao",human
172,what time you coming down later,human
173,"bloody hell, cant believe you forgot my surname mr ill give u a clue, its spanish and begins with m",human
174,"well, i'm gonna finish my bath now have a good fine night",human
175,let me know when you've got the money so carlos can make the call,human
176,u still going to the mall,human
177,"turns out my friends are staying for the whole show and won't be back til lt gt , so feel free to go ahead and smoke that lt gt worth",human
178,text her if she doesnt reply let me know so i can have her log in,human
179,hi you just spoke to maneesha v we'd like to know if you were satisfied with the experience reply toll free with yes or no,human
180,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr  weekend,human
181,lol no u can trust me,human
182,ok i am a gentleman and will treat you with dignity and respect,human
183,"he will, you guys close",human
184,going on nothing great bye,human
185,hello handsome are you finding that job not being lazy working towards getting back that net for mummy where's my boytoy now does he miss me,human
186,"haha awesome, be there in a minute",human
187,please call our customer service representative on freephone       between  am  pm as you have won a guaranteed å£  cash or å£  prize,spam
188,have you got xmas radio times if not i will get it now,human
189,i jus reached home i go bathe first but my sis using net tell u when she finishes k,human
190,are you unique enough find out from  th august www areyouunique co uk,spam
191,i'm sorry i've joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week |,human
192,hi finally i completed the course,human
193,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool,human
194,how are you doing hope you've settled in for the new school year just wishin you a gr  day,human
195,gud mrng dear hav a nice day,human
196,did u got that persons story,human
197,is your hamster dead hey so tmr i meet you at  pm orchard mrt,human
198,hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx,human
199,"found it, enc lt gt , where you at",human
200,i sent you lt gt bucks,human
201,hello darlin ive finished college now so txt me when u finish if u can love kate xxx,human
202,your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance is rs lt decimal gt your transaction id is kr lt gt,human
203,goodmorning sleeping ga,human
204,u call me alter at   ok,human
205,ìï say until like dat i dun buy ericsson oso cannot oredi lar,human
206,"as i entered my cabin my pa said, '' happy b'day boss '' i felt special she askd me   lunch after lunch she invited me to her apartment we went there",human
207,"aight yo, dats straight dogg",human
208,you please give us connection today itself before lt decimal gt or refund the bill,human
209,both i shoot big loads so get ready,human
210,"what's up bruv, hope you had a great break do have a rewarding semester",human
211,home so we can always chat,human
212,k k good study well,human
213,yup how ì_ noe leh,human
214,sounds great are you home now,human
215,finally the match heading towards draw as your prediction,human
216,tired i haven't slept well the past few nights,human
217,easy ah sen got selected means its good,human
218,i have to take exam with march  ,human
219,yeah you should i think you can use your gt atm now to register not sure but if there's anyway i can help let me know but when you do be sure you are ready,human
220,ok no prob take ur time,human
221,there is os called ubandu which will run without installing in hard disk you can use that os to copy the important files in system and give it to repair shop,human
222,"sorry, i'll call later",human
223,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh,human
224,"  new mobiles from  , must go txt nokia to no   collect yours today from only å£  www   tc biz  optout    gbp mtmsg ",spam
225,would really appreciate if you call me just need someone to talk to,human
226,"will u meet ur dream partner soon is ur career off   a flyng start   find out free, txt horo followed by ur star sign, e g horo aries",spam
227,hey company elama po mudyadhu,human
228,"life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam, but life first conducts exam amp then teaches lessons happy morning",human
229,dear good morning now only i am up,human
230,get down in gandhipuram and walk to cross cut road right side lt gt street road and turn at first right,human
231,dear we are going to our rubber place,human
232,"sorry battery died, yeah i'm here",human
233,yes here tv is always available in work place,human
234,text meet someone sexy today u can find a date or even flirt its up to u join   just  p reply with name age eg sam     msg recd thirtyeight pence,spam
235,i have printed it oh so lt gt come upstairs,human
236,or ill be a little closer like at the bus stop on the same street,human
237,where are you when wil you reach here,human
238,"new theory argument wins d situation, but loses the person so dont argue with ur friends just kick them amp say, i'm always correct",human
239,u   have a secret admirer who is looking   make contact with u find out who they r reveal who thinks ur so special call on  ,spam
240,tomarrow final hearing on my laptop case so i cant,human
241,pleassssssseeeeee tel me v avent done sportsx,human
242,"okay no no, just shining on that was meant to be signing, but that sounds better",human
243,"although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u thanx   everything dat u've done today, i'm touched",human
244,u don't remember that old commercial,human
245,too late i said i have the website i didn't i have or dont have the slippers,human
246,i asked you to call him now ok,human
247,kallis wont bat in  nd innings,human
248,it didnt work again oh ok goodnight then i ll fix and have it ready by the time you wake up you are very dearly missed have a good night sleep,human
249,congratulations ur awarded   of cd vouchers or  gift guaranteed free entry     wkly draw txt music to   tncs www ldew com win ppmx age ,spam
250,ranjith cal drpd deeraj and deepak  min hold,human
251,"wen ur lovable bcums angry wid u, dnt take it seriously coz being angry is d most childish n true way of showing deep affection, care n luv kettoda manda have nice day da",human
252,what you doing how are you,human
253,"ups which is  days also, and the shipping company that takes  wks the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff",human
254,"i'm back, lemme know when you're ready",human
255,don't necessarily expect it to be done before you get back though because i'm just now headin out,human
256,mmm so yummy babe nice jolt to the suzy,human
257,where are you lover i need you,human
258,we tried to contact you re your reply to our offer of a video handset   anytime networks mins unlimited text camcorder reply or call   now,spam
259,iû÷m parked next to a mini when are you coming in today do you think,human
260,yup,human
261,anyway i'm going shopping on my own now cos my sis not done yet dun disturb u liao,human
262,my no in luton   ring me if ur around h,human
263,hey i am really horny want to chat or see me naked text hot to   text charged at  pm to unsubscribe text stop  ,spam
264,why you dint come with us,human
265,same wana plan a trip sometme then,human
266,"not sure yet, still trying to get a hold of him",human
267,ur ringtone service has changed   free credits go to club mobiles com to choose content now stop txt club stop to    p wk club  po box  mk   wt,spam
268,the evo i just had to download flash jealous,human
269,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,spam
270,"come to mu, we're sorting out our narcotics situation",human
271,"night has ended for another day, morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay",human
272,hmv bonus special   pounds of genuine hmv vouchers to be won just answer   easy questions play now send hmv to   more info www  percent real com,spam
273,"usf i guess, might as well take   car",human
274,no objection my bf not coming,human
275,thanx,human
276,tell rob to mack his gf in the theater,human
277,"awesome, i'll see you in a bit",human
278,just sent it so what type of food do you like,human
279,all done all handed in celebrations in full swing yet,human
280,you got called a tool,human
281,\wen u miss someone,human
282,ok i asked for money how far,human
283,okie,human
284,"yeah i think my usual guy's still passed out from last night, if you get ahold of anybody let me know and i'll throw down",human
285,"k, i might come by tonight then if my class lets out early",human
286,ok,human
287,hi baby im cruisin with my girl friend what r u up   give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,human
288,"my life means a lot to me, not because i love my life, but because i love the people in my life, the world calls them friends, i call them my world ge",human
289,"dear,shall mail tonite busy in the street,shall update you tonite things are looking ok varunnathu edukkukayee raksha ollu but a good one in real sense",human
290,hey you told your name to gautham ah,human
291,haf u found him i feel so stupid da v cam was working,human
292,oops   got that bit,human
293,are you this much buzy,human
294,i accidentally deleted the message resend please,human
295,t mobile customer you may now claim your free camera phone upgrade a pay go sim card for your loyalty call on       offer ends  thfeb t c's apply,spam
296,unless it's a situation where you go gurl would be more appropriate,human
297,hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl,human
298,i cant pick the phone right now pls send a message,human
299,need a coffee run tomo can't believe it's that time of week already,human
300,"awesome, i remember the last time we got somebody high for the first time with diesel v",human
301,"shit that is really shocking and scary, cant imagine for a second def up for night out do u think there is somewhere i could crash for night, save on taxi",human
302,oh and by the way you do have more food in your fridge want to go out for a meal tonight,human
303,he is a womdarfull actor,human
304,"sms ac blind date  u rodds  is   m from aberdeen, united kingdom check him out http img sms ac w icmb cktz r    no blind dates send hide",spam
305,yup from what i remb i think should be can book,human
306,jos ask if u wana meet up,human
307,lol yes our friendship is hanging on a thread cause u won't buy stuff,human
308,"themob check out our newest selection of content, games, tones, gossip, babes and sport, keep your mobile fit and funky text wap to  ",spam
309,where are the garage keys they aren't on the bookshelf,human
310,today is accept day u accept me as brother sister lover dear  best  clos  lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,human
311,"think ur smart win å£  this week in our weekly quiz, text play to   now t cs winnersclub po box  , m   uz   gbp    week",spam
312,he says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,human
313,"hi the way i was with u  day, is the normal way this is the real me ur unique i hope i know u   the rest of mylife hope u find wot was lost",human
314,you made my day do have a great day too,human
315,k k advance happy pongal,human
316,"hmmm guess we can go   kb n power yoga haha, dunno we can tahan power yoga anot thk got lo oso, forgot liao",human
317,"not really dude, have no friends i'm afraid",human
318,december only had your mobile  mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on  ,spam
319,"coffee cake, i guess",human
320,"merry christmas to you too babe, i love ya kisses",human
321,hey why dont we just go watch x men and have lunch haha,human
322,cud u tell ppl im gona b a bit l  cos   buses hav gon past cos they were full im still waitin     pete x,human
323,that would be great we'll be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week,human
324,no problem how are you doing,human
325,no calls messages missed calls,human
326,hi da how is the todays class,human
327,"i'd say that's a good sign but, well, you know my track record at reading women",human
328,"cool, text me when you're parked",human
329,i'm reading the text i just sent you its meant to be a joke so read it in that light,human
330,k k apo k good movie,human
331,maybe i could get book out tomo then return it immediately or something,human
332,call germany for only   pence per minute call from a fixed line via access number         no prepayment direct access,spam
333,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork not cool at all please do not contact me again or i will report you to your supervisor,human
334,valentines day special win over å£  in our quiz and take your partner on the trip of a lifetime send go to   now  p msg rcvd custcare  ,spam
335,"ta daaaaa i am home babe, are you still up",human
336,cool so how come you havent been wined and dined before,human
337,just sleeping and surfing,human
338,"sorry, i'll call later",human
339,u calling me right call my hand phone,human
340,ok that's great thanx a lot,human
341,i take it the post has come then you must have  s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him,human
342,where u been hiding stranger,human
343,am not interested to do like that,human
344,my sister cleared two round in birla soft yesterday,human
345,gudnite tc practice going on,human
346,dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num,human
347,one small prestige problem now,human
348,fancy a shag i do interested sextextuk com txt xxuk suzy to   txts cost     per msg tncs on website x,spam
349,just checking in on you really do miss seeing jeremiah do have a great month,human
350,"nah can't help you there, i've never had an iphone",human
351,if you're not in my car in an hour and a half i'm going apeshit,human
352,"today is sorry day if ever i was angry with you, if ever i misbehaved or hurt you plz plz just slap urself bcoz, its ur fault, i'm basically good",human
353,yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed,human
354,lt gt ish minutes was   minutes ago wtf,human
355,"thank you for calling forgot to say happy onam to you sirji i am fine here and remembered you when i met an insurance person meet you in qatar insha allah rakhesh, ex tata aig who joined tissco,tayseer",human
356,congratulations ur awarded   of cd vouchers or  gift guaranteed free entry     wkly draw txt music to   tncs www ldew com win ppmx age ,spam
357,ur cash balance is currently   pounds to maximize ur cash in now send cash to   only  p msg cc   hg suite   lands row w j hl,spam
358,"i'm an actor when i work, i work in the evening and sleep late since i'm unemployed at the moment, i always sleep late when you're unemployed, every day is saturday",human
359,"hello just got here, st andrews boy its a long way its cold i will keep you posted",human
360,ha ha cool cool chikku chikku db,human
361,oh ok no prob,human
362,check audrey's status right now,human
363,busy here trying to finish for new year i am looking forward to finally meeting you,human
364,"good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile i think of you, my love as always",human
365,well i know z will take care of me so no worries,human
366,"update_now xmas offer latest motorola, sonyericsson nokia free bluetooth double mins   txt on orange call mobileupd  on   or call optout f q",spam
367,here is your discount code rp  to stop further messages reply stop www regalportfolio co uk customer services  ,spam
368,wat uniform in where get,human
369,"cool, text me when you're ready",human
370,"hello my boytoy geeee i miss you already and i just woke up i wish you were here in bed with me, cuddling me i love you",human
371,i will spoil you in bed as well,human
372,i'm going for bath will msg you next lt gt min,human
373,i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay,human
374,"thanks for your ringtone order, reference t  you will be charged gbp   per week you can unsubscribe at anytime by calling customer services on  ",spam
375,can you say what happen,human
376,you could have seen me i did't recognise you face,human
377,well there's not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going,human
378,keep my payasam there if rinu brings,human
379,i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me,human
380,"i guess that's why you re worried you must know that there's a way the body repairs itself and i'm quite sure you shouldn't worry we'll take it slow first the tests, they will guide when your ovulation is then just relax nothing you've said is a reason to worry but i ll keep on followin you up",human
381,"yeah sure, give me a couple minutes to track down my wallet",human
382,hey leave it not a big deal take care,human
383,hey i will be late ah meet you at  ,human
384,"double mins and txts    months free bluetooth on orange available on sony, nokia motorola phones call mobileupd  on   or call optout n dx",spam
385,it took mr owl   licks,human
386,customer place i will call you,human
387,mm that time you dont like fun,human
388, mths half price orange line rental latest camera phones   free had your phone  mths call mobilesdirect free on   to update now or stoptxt,spam
389,yup having my lunch buffet now u eat already,human
390,huh so late fr dinner,human
391,hey so this sat are we going for the intro pilates only or the kickboxing too,human
392,morning only i can ok,human
393,yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down,human
394,pick you up bout    ish what time are and that going,human
395,from here after the performance award is calculated every two month not for current one month period,human
396,was actually sleeping and still might when u call back so a text is gr  you rock sis will send u a text wen i wake,human
397,"you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people i've ever met why would i think a picture of your room would hurt you, make you feel violated",human
398,"good evening sir, al salam wahleykkum sharing a happy news by the grace of god, i got an offer from tayseer,tissco and i joined hope you are fine inshah allah,meet you sometime rakhesh,visitor from india",human
399,hmmm k but i want to change the field quickly da i wanna get system administrator or network administrator,human
400,"free ringtone text first to   for a poly or text get to   for a true tone help       after  st free, tones are  xå£ pw to eå£nd txt stop",spam
401,dear how is chechi did you talk to her,human
402,the hair cream has not been shipped,human
403,none of that's happening til you get here though,human
404,"yep, the great loxahatchee xmas tree burning of lt gt starts in an hour",human
405,"haha get used to driving to usf man, i know a lot of stoners",human
406,all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as can't stay late tomorrow same time place as always,human
407,hello good week fancy a drink or something later,human
408,headin towards busetop,human
409,message some text missing sender name missing number missing sent date missing missing u a lot thats y everything is missing sent via fullonsms com,human
410,come by our room at some point so we can iron out the plan for this weekend,human
411,cos i want it to be your thing,human
412,"okies i'll go yan jiu too we can skip ard oso, go cine den go mrt one, blah blah blah",human
413,bring home some wendy d,human
414,  dating service cal l   box sk ch,spam
415,whatsup there dont u want to sleep,human
416,alright i have a new goal now,human
417,free entry into our å£  weekly competition just text the word win to   now   t c www txttowin co uk,spam
418,"alright, i'll head out in a few minutes, text me where to meet you",human
419,send a logo   ur lover   names joined by a heart txt love name  name  mobno eg love adam eve   to   yahoo pobox w wq txtno   no ads  p,spam
420,yes from last week itself i'm taking live call,human
421,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline   pobox n tf p,spam
422,siva is in hostel aha,human
423,urgent your mobile number has been awarded with a å£  prize guaranteed call   from land line claim   valid  hrs only,spam
424,send this to ur friends and receive something about ur voice how is my speaking expression   childish   naughty   sentiment   rowdy   ful of attitude   romantic   shy   attractive   funny lt gt irritating lt gt lovable reply me,human
425,ok she'll be ok i guess,human
426,aathi where are you dear,human
427,any pain on urination any thing else,human
428,  at esplanade do ì_ mind giving me a lift cos i got no car today,human
429,i wnt to buy a bmw car urgently its vry urgent but hv a shortage of lt gt lacs there is no source to arng dis amt lt gt lacs thats my prob,human
430,at home watching tv lor,human
431,does she usually take fifteen fucking minutes to respond to a yes or no question,human
432,congrats nokia   video camera phone is your call   calls cost  ppm ave call  mins vary from mobiles   close   post bcm  ldn wc n xx,spam
433,booked ticket for pongal,human
434,you available now i'm like right around hillsborough amp lt gt th,human
435,the message sent is askin for lt gt dollars shoul i pay lt gt or lt gt,human
436,"ask g or iouri, i've told the story like ten times already",human
437,how long does applebees fucking take,human
438,"hi hope u get this txt journey hasnt been gd,now about   mins late i think",human
439,but i have to i like to have love and arrange,human
440,yes he is really great bhaji told kallis best cricketer after sachin in world very tough to get out,human
441,you were supposed to wake me up gt,human
442,oic i saw him too but i tot he din c me i found a group liao,human
443,"sorry, i'll call later",human
